,category,fairness_bias_mentioned,how_fairness,data_privacy,how_data_privacy,toy,red_team,transparency_mentioned,how_transparency,url
127,Biodiversity and Conservation,no,n/a,no,n/a,no,no,no,n/a: The competition focuses on adaptive top-K accuracy as the evaluation metric.,https://www.aicrowd.com/challenges/lifeclef-2020-geo
128,Artificial Intelligence and Computer Vision,no,n/a,no,n/a,no,no,no,n/a; the competition focuses on Mean Reciprocal Rank as the primary performance metric.,https://www.aicrowd.com/challenges/lifeclef-2020-plant
129,Artificial Intelligence/Chess,no,n/a,no,n/a,yes,no,no,n/a: Mean Absolute Error and F1 score,https://www.aicrowd.com/challenges/chess
130,Wine Industry,no,n/a,no,n/a,yes,no,no,"n/a, F1 score",https://www.aicrowd.com/challenges/wineq
131,Healthcare,no,n/a,no,n/a,no,no,no,"n/a, F1 score and accuracy are the metrics considered.",https://www.aicrowd.com/challenges/crdio
132,Healthcare,no,n/a,no,The dataset involves fetal health data but does not suggest concerns over privacy or unauthorized use. The source information is properly credited.,no,no,no,n/a. Focus is on F1 score and accuracy as performance metrics.,https://www.aicrowd.com/challenges/crdio
133,Computer Vision,no,n/a,no,n/a,no,no,no,n/a - The competition focuses on performance metrics like translation and rotation error.,https://www.aicrowd.com/challenges/tartanair-visual-slam-stereo-track
134,Autonomous Vehicles,no,n/a,yes,The competition uses visual data captured by self-driving cars. Data privacy issues could arise if licensing or consent for image data is not strictly managed.,no,no,no,n/a. The competition focuses on a single best performance metric: AP50.,https://www.aicrowd.com/challenges/eccv-2020-commands-4-autonomous-vehicles
135,Natural Language Processing,no,n/a,no,n/a,yes,no,no,n/a F1 score,https://www.aicrowd.com/challenges/scrbl
136,Computer Vision,no,n/a,no,n/a,no,no,no,"n/a, F1 score and Accuracy",https://www.aicrowd.com/challenges/snake
137,AI and Machine Learning,no,n/a,no,The dataset consists of news articles and GPT-2 generated texts; no sensitive personal information is mentioned.,no,no,no,n/a. The primary evaluation metric mentioned is F1 score.,https://www.aicrowd.com/challenges/fnews
138,Computer Vision,no,n/a,no,n/a,yes,no,no,n/a. The competition focuses on the Mean Squared Error metric for evaluation.,https://www.aicrowd.com/challenges/solve-sudoku
139,Environmental Monitoring,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on the F1 score as the performance metric.,https://www.aicrowd.com/challenges/lndst
140,Autonomous Vehicles,no,n/a,no,n/a,no,no,no,n/a. The competition's evaluation metric is Mean Squared Error.,https://www.aicrowd.com/challenges/autodri
141,Computer Vision,no,n/a,no,n/a,yes,no,no,"n/a, Mean Squared Error",https://www.aicrowd.com/challenges/skely
142,Data Science/Knowledge Representation,no,n/a,no,n/a,no,no,no,n/a,https://www.aicrowd.com/challenges/semtab-2020
143,Machine Learning/Image Processing,no,n/a,no,n/a,yes,no,no,n/a. The competition focuses on mean over normalized Levenshtein Similarity Score as the performance metric.,https://www.aicrowd.com/challenges/captcha
144,Artificial Intelligence,no,n/a,no,n/a,yes,no,no,n/a: SSIM score and Mean Squared Error,https://www.aicrowd.com/challenges/jigsaw
145,Food and Beverage,no,n/a,no,The dataset only includes physicochemical properties and sensory variables without sensitive personal information. There are no apparent privacy issues.,yes,no,no,n/a F1 score is used as the single best performance metric.,https://www.aicrowd.com/challenges/da-wine-quality-assignment
146,Energy Efficiency,no,n/a,no,n/a,yes,no,no,n/a. The competition focuses on the F1 score as the performance metric.,https://www.aicrowd.com/challenges/da-project-light
147,Machine Learning,no,n/a,no,n/a,yes,no,no,"n/a, F1 score",https://www.aicrowd.com/challenges/da-project-aloid
148,Criminal Justice,no,n/a,yes,"Contains sensitive information like criminal history and demographics, which have privacy concerns. No information on how these issues are addressed is provided.",no,no,no,n/a - F1 score is the only evaluation metric mentioned.,https://www.aicrowd.com/challenges/da-project-recid
149,Data Science/Artificial Intelligence,no,n/a,no,n/a,yes,no,no,n/a - the primary focus is on prediction accuracy and leaderboard ranking.,https://www.aicrowd.com/challenges/final-project-of-the-data-mining-and-machine-learning-course
150,n/a,no,n/a,n/a,n/a,n/a,n/a,no,n/a,https://www.aicrowd.com/challenges/da-project-monsoon-2020
151,Machine Learning,no,n/a,no,n/a,no,no,no,n/a. The competition uses the F1 score as the performance metric.,https://www.aicrowd.com/challenges/da-project-plant
152,Medical AI,no,n/a,yes,"Consumer health questions could contain sensitive personal information. The data usage is regulated through a registration and data usage agreement, but specific measures for ensuring privacy are not detailed, leaving potential privacy issues unaddressed.",no,no,no,n/a. The main evaluation metric is ROUGE.,https://www.aicrowd.com/challenges/mediqa-2021-question-summarization-qs
153,Medical,no,n/a,yes,The competition uses medical data containing potentially sensitive information. The descriptions do not mention specific measures taken to protect privacy beyond standard agreements and registration forms.,no,no,no,"n/a, with the primary metric being ROUGE scores.",https://www.aicrowd.com/challenges/mediqa-2021-multi-answer-summarization-mas
154,medical summarization,no,n/a,yes,"The competition involves medical data, including radiology reports, which are sensitive. Data usage is controlled with restrictions on which datasets can be used, implying a focus on privacy, but potential issues might remain if guidelines are not adhered to.",no,no,no,n/a. The competition focuses on ROUGE as the main performance metric.,https://www.aicrowd.com/challenges/mediqa-2021-radiology-report-summarization-rrs
155,medical summarization,no,n/a,yes,The competition requires signing a Data Usage Agreement (DUA) which suggests potential privacy concerns regarding sensitive medical data usage.,no,no,no,"n/a, ROUGE scores",https://www.aicrowd.com/challenges/mediqa-2021
156,Computer Vision and Machine Learning,no,n/a,yes,"The competition addresses data privacy by repurposing datasets and providing participants with anonymized data according to GDPR guidelines. However, potential risks include re-identification or misuse of images.",no,no,no,n/a. The focus is on Pearson's correlation coefficient as a performance metric.,https://www.aicrowd.com/challenges/imageclef-2021-aware
157,Coral Reef Monitoring/Environmental Science,no,n/a,no,n/a,no,no,no,n/a Mean average precision (MAP) at IoU >=0.5,https://www.aicrowd.com/challenges/imageclef-2021-coral-pixel-wise-parsing
158,Coral Reef Monitoring and Image Analysis,no,n/a,no,n/a,no,no,no,n/a - The competition focuses on Mean Average Precision (MAP) and IoU as performance metrics.,https://www.aicrowd.com/challenges/imageclef-2021-coral-annotation-and-localisation
159,Artificial Intelligence and Computer Vision,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on Mean Average Precision over IoU 0.50 and recall over IoU 0.50 as the evaluation criteria.,https://www.aicrowd.com/challenges/imageclef-2021-drawnui-wireframe
160,User Interface Design and Machine Learning,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on Mean Average Precision and recall over IoU 0.50 as performance metrics.,https://www.aicrowd.com/challenges/imageclef-2021-drawnui-screenshot
161,Medical Imaging and Natural Language Processing,no,n/a,yes,"The competition involves radiology images, which could potentially contain sensitive patient information. Participants need to sign an End User Agreement, but details on anonymization or privacy safeguards are not specified.",no,no,no,n/a: The competition focuses on answering visual questions with radiology images without mention of model transparency.,https://www.aicrowd.com/challenges/imageclef-2021-vqa-med-vqa
162,Medical Imaging and Natural Language Processing,no,n/a,yes,"The competition involves radiology images, which are sensitive data. Ensuring data privacy involves securing access through an End User Agreement (EUA). However, detailed privacy measures are not explicitly mentioned, which could be a potential flaw.",no,no,no,n/a,https://www.aicrowd.com/challenges/imageclef-2021-vqa-med-vqg
163,Automotive/Technology,no,n/a,no,n/a,yes,no,no,"n/a, Average Precision (AR) @[IoU=0.50:0.50 | area=all | maxDets=1] is the sole focus.",https://www.aicrowd.com/challenges/f1-car-detection
164,Medical Image Analysis,no,n/a,no,n/a,no,no,no,n/a BLEU,https://www.aicrowd.com/challenges/imageclef-2021-caption-concept-detection
165,Medical Imaging,no,n/a,yes,"The competition requires signing an End User Agreement, indicating measures are in place for data usage and privacy. However, specific details about data privacy protections are not elaborated.",no,no,no,"n/a. The competition focuses on accuracy and Kappa metrics for evaluation, showing no emphasis on model transparency.",https://www.aicrowd.com/challenges/imageclef-2021-tuberculosis-tbt-classification
166,Automotive/AI Image Classification,no,n/a,no,n/a,yes,no,no,n/a. During evaluation F1 score is used as Primary Score and Accuracy Score as Secondary Score.,https://www.aicrowd.com/challenges/f1-team-classification
167,Plant Identification/Computer Vision,no,n/a,no,n/a,no,no,no,n/a - Mean Reciprocal Rank (MRR) is the primary metric.,https://www.aicrowd.com/challenges/lifeclef-2021-plant
168,Finance,no,n/a,no,n/a,yes,no,no,n/a. The competition focuses on Mean Squared Error as the performance metric.,https://www.aicrowd.com/challenges/time-series-prediction
169,Finance,no,n/a,no,n/a,yes,no,no,n/a. The competition focuses solely on Mean Squared Error as the performance metric.,https://www.aicrowd.com/challenges/time-series-prediction
170,Artificial Intelligence,no,n/a,no,n/a,yes,no,no,n/a Word Error Rate,https://www.aicrowd.com/challenges/txtocr
171,Artificial Intelligence / Optical Character Recognition,no,n/a,no,n/a,yes,no,no,"n/a, the evaluation focuses on Word Error Rate as the performance metric.",https://www.aicrowd.com/challenges/txtocr
172,Image Processing,no,n/a,no,n/a,yes,no,no,n/a. The competition focuses solely on Mean Squared Error (MSE) as the performance metric.,https://www.aicrowd.com/challenges/imgcol
173,"Artificial Intelligence, Image Processing",no,n/a,no,n/a,yes,no,no,"n/a, the metric is Mean Squared Error (MSE)",https://www.aicrowd.com/challenges/imgcol
174,Machine Learning/Data Science,no,n/a,no,n/a,yes,no,no,n/a Average Precision (AP) @[ IoU=0.50:0.50 | area= all | maxDets=100 ],https://www.aicrowd.com/challenges/objde
175,Machine Learning,no,n/a,no,n/a,no,no,no,n/a. Average Precision (AP) @[ IoU=0.50:0.50 | area= all | maxDets=100 ] is the focus.,https://www.aicrowd.com/challenges/objde
176,Artificial Intelligence,no,n/a,no,n/a,yes,no,no,n/a F1 Score is the primary performance metric.,https://www.aicrowd.com/challenges/sound-sentiment-prediction
177,Artificial Intelligence,no,n/a,no,n/a,yes,no,no,n/a. The competition focuses on F1 Score as the primary metric and Accuracy as the secondary metric.,https://www.aicrowd.com/challenges/sound-sentiment-prediction
178,Data Science/Computer Vision,no,n/a,no,n/a,yes,no,no,n/a. The competition focuses on Word Error Rate as the performance metric.,https://www.aicrowd.com/challenges/chess-transcription
179,Artificial Intelligence,no,n/a,no,n/a,yes,no,no,n/a (Word Error Rate is used as the performance metric),https://www.aicrowd.com/challenges/chess-configuration
180,Data Science / Artificial Intelligence,no,n/a,no,n/a,yes,no,no,"n/a, the competition focuses on F1 score as the primary metric and Accuracy score as the secondary metric.",https://www.aicrowd.com/challenges/chess-points
181,Data Science,no,n/a,no,n/a,yes,no,no,n/a; the primary metric is F1 score,https://www.aicrowd.com/challenges/chess-pieces
182,Artificial Intelligence/Chess,no,n/a,no,n/a,yes,no,no,"n/a, F1 score is used as Primary Score and Accuracy Score as Secondary Score",https://www.aicrowd.com/challenges/chess-win-prediction
183,Medical Image Analysis,no,n/a,yes,Potential issues may arise due to the use of clinical radiology images annotated by medical doctors. It is crucial to ensure that the dataset has proper de-identification and complies with relevant data protection regulations.,no,no,no,n/a. The competition focuses on BLEU scores as the primary performance metric.,https://www.aicrowd.com/challenges/imageclef-2021-caption-caption-prediction
184,Affective Computing,no,n/a,no,n/a,no,no,no,"n/a, correlation between predicted and ground truth values is the performance metric.",https://www.aicrowd.com/challenges/evoked-expressions-from-videos-challenge-cvpr-2021
185,Machine Learning,no,n/a,no,n/a,yes,no,no,"n/a, the competition likely focuses on model performance metrics.",https://www.aicrowd.com/challenges/ml-battleground
186,machine learning,no,n/a,no,n/a,yes,no,no,"n/a, F1 score is the evaluation metric",https://www.aicrowd.com/challenges/tiring-text
187,Artificial Intelligence/Game Development,no,n/a,no,n/a,yes,no,no,"n/a, best performance metric is minimizing the sum of squares of the number of moves",https://www.aicrowd.com/challenges/tile-slider
188,AI and Computer Vision,no,n/a,no,n/a,yes,no,no,"n/a, performance metric is counting accuracy",https://www.aicrowd.com/challenges/hey-barrels
189,Artificial Intelligence / Reinforcement Learning,no,n/a,no,n/a,yes,no,no,n/a. single best performance metric: Implementation of value iteration,https://www.aicrowd.com/challenges/rl-vi
190,Neuroscience/Behavioral Science,no,n/a,no,n/a,no,no,no,n/a. The competition uses the F1 score as the primary performance metric.,https://www.aicrowd.com/challenges/mabe-task-1-classical-classification
191,Behavioral Neuroscience,no,n/a,no,n/a,no,no,no,n/a; the competition focuses on F1 score as the primary metric.,https://www.aicrowd.com/challenges/mabe-task-2-annotation-style-transfer
192,Animal Behavior Modeling,no,n/a,no,n/a,no,no,no,n/a; the primary metric is F1 score.,https://www.aicrowd.com/challenges/mabe-task-3-learning-new-behavior
193,n/a,no,n/a,n/a,n/a,n/a,no,no,n/a. Unknown metric,https://www.aicrowd.com/challenges/rliitm-1
194,Transportation,no,n/a,no,n/a,yes,no,no,n/a,https://www.aicrowd.com/challenges/rl-taxi
195,Data Science/Artificial Intelligence,no,n/a,no,n/a,yes,no,no,n/a. The competition focuses on Mean Squared Error as the performance metric.,https://www.aicrowd.com/challenges/mars-rotation
196,Aerospace/Artificial Intelligence,no,n/a,no,n/a,yes,no,no,n/a Adjusted Rand Score,https://www.aicrowd.com/challenges/stage-prediction
197,Space Exploration,no,n/a,no,n/a,yes,no,no,n/a. Primary metric is F1 score.,https://www.aicrowd.com/challenges/rover-classification
198,Artificial Intelligence,no,n/a,no,n/a,yes,no,no,"n/a, Average Precision (AP) @[ IoU=0.50:0.50 | area=medium | maxDets=100 ]",https://www.aicrowd.com/challenges/debris-detection
199,Image Processing,no,n/a,no,n/a,yes,no,no,"n/a, Mean Squared Error (MSE)",https://www.aicrowd.com/challenges/image-correction
200,Medical Image Analysis,no,n/a,yes,"The potential privacy issue relates to handling sensitive patient medical data from cancer imaging. While there are no explicit privacy measures mentioned, appropriate anonymization is implied to comply with healthcare and research standards.",no,no,no,n/a - The competition focuses on performance metrics like segmentation accuracy and prediction quality.,https://www.aicrowd.com/challenges/miccai-2021-hecktor
201,Artificial Intelligence,no,n/a,no,n/a,yes,no,no,"n/a, the competition does not explicitly mention transparency or explainability; focus seems to be on participation and learning.",https://www.aicrowd.com/challenges/ai-blitz-community-challenge
202,Automotive/AI Image Processing,no,n/a,no,n/a,yes,no,no,n/a Mean Squared Error,https://www.aicrowd.com/challenges/f1-speed-recognition
203,Image Processing,no,n/a,no,n/a,yes,no,no,"n/a, the competition focuses on Mean Squared Error as the performance metric.",https://www.aicrowd.com/challenges/f1-smoke-elimination
204,n/a,no,n/a,no,n/a,n/a,n/a,no,n/a,https://www.aicrowd.com/challenges/iit-m-rl-assignment-2-taxi
205,n/a,no,n/a,no,n/a,n/a,no,no,n/a,https://www.aicrowd.com/challenges/iit-m-rl-assignment-2-gridworld
206,n/a,no,n/a,no,n/a,no,no,no,n/a,https://www.aicrowd.com/challenges/iit-m-assignment-2
207,Automotive/AI & Machine Learning,no,n/a,no,n/a,yes,no,no,"n/a - F1 score (average=""weighted"") and Accuracy Score are the performance metrics.",https://www.aicrowd.com/challenges/f1-car-rotation
208,Reinforcement Learning,no,n/a,no,n/a,yes,no,no,"n/a, scoring system to determine score for each environment",https://www.aicrowd.com/challenges/iitm-rl-final-project
209,Natural Language Processing,no,n/a,no,n/a,yes,no,no,"n/a, F1 score and Accuracy Score",https://www.aicrowd.com/challenges/emotion-detection
210,Data Science & Machine Learning,no,n/a,no,n/a,yes,no,no,"n/a, F1 score (weighted average) and Accuracy Score",https://www.aicrowd.com/challenges/research-paper-classification
211,Natural Language Processing,no,n/a,no,n/a,yes,no,no,n/a. The competition focuses on the Mean Word Error Rate metric.,https://www.aicrowd.com/challenges/de-shuffling-text
212,Machine Learning/Data Science,no,n/a,no,n/a,yes,no,no,"n/a, the competition focuses on F1 score and Accuracy Score.",https://www.aicrowd.com/challenges/nlp-feature-engineering
213,Data Science/Audio Processing,no,n/a,no,n/a,yes,no,no,"n/a, Mean Word Error Rate",https://www.aicrowd.com/challenges/sound-prediction
214,n/a,no,n/a,no,n/a,no,no,no,n/a,https://www.aicrowd.com/challenges/semtab-2021
215,Data Science/Knowledge Graphs,no,n/a,no,n/a,no,no,no,"n/a, focuses on performance metrics like F1 Score and Precision",https://www.aicrowd.com/challenges/column-type-annotation-by-dbpedia-cta-dbp
216,Semantic Web,no,n/a,no,n/a,no,no,no,"n/a. The competition focuses on F1 Score as the primary metric, with Precision as the secondary metric.",https://www.aicrowd.com/challenges/cell-entity-annotation-by-wikidata-cea-wd
217,Semantic Web and Data Annotation,no,n/a,no,n/a,no,no,no,"n/a, F1 Score is the primary metric",https://www.aicrowd.com/challenges/cell-entity-annotation-by-dbpedia-cea-dbp
218,Semantic Web and Knowledge Graphs,no,n/a,no,n/a,no,no,no,"n/a, AF1 is used as the primary score.",https://www.aicrowd.com/challenges/column-type-annotation-by-wikidata-cta-wd
219,Artificial Intelligence,no,n/a,no,n/a,yes,no,no,n/a,https://www.aicrowd.com/challenges/findcave
220,Artificial Intelligence/Robotics,no,n/a,no,n/a,yes,no,no,n/a,https://www.aicrowd.com/challenges/makewaterfall
